analysis,dims,perplexity,n_neighbors,min_dist,metric,cluster_seconds,umap_seconds,tsne_seconds
pc_sweep,5,NA,30,0.3,cosine,0.5289962291717529,2.0790040493011475,2.5488250255584717
pc_sweep,10,NA,30,0.3,cosine,0.4690511226654053,1.9355340003967285,2.6096138954162598
pc_sweep,20,NA,30,0.3,cosine,0.4596409797668457,1.8954579830169678,2.9121439456939697
pc_sweep,30,NA,30,0.3,cosine,0.43886613845825195,1.8994560241699219,3.007018804550171
pc_sweep,50,NA,30,0.3,cosine,0.45253705978393555,1.8732199668884277,3.450723886489868
